Cat,Code,Title,L,T,P,Cr,ES
ENGG,15CSE411,Software Project Management,3,0,0,3,A
ENGG, ,Elective VI*,3,0,0,3,E
PRJ,15CSE499,Project Phase II, , , ,10,P
