Cat,Code,Title,L,T,P,Cr,ES
ENGG,15CSE211,Design and Analysis of Algorithms,3,1,0,4,A
ENGG,15CSE212,Introduction to Embedded Systems,3,0,0,3,C
ENGG,15CSE213,Operating Systems,3,1,0,4,D
SCI,15MAT213,Probability and Random Processes,3,1,0,4,B
ENGG,15CSE285,Embedded Systems Lab,0,0,2,1,L1
ENGG,15CSE286,Operating Systems Lab,0,0,2,1,L2
HUM, ,Humanities Elective II,-,-, ,2,H
HUM,15SSK221,Soft Skills I,1,0,2,2,G
